"","year","PET"
"1",1911,538.969964336637
"2",1912,486.927913675717
"3",1913,517.993479491195
"4",1914,553.752691749773
"5",1915,499.53893019039
"6",1916,498.925017508494
"7",1917,500.663640848616
"8",1918,515.243281958296
"9",1919,554.741948315201
"10",1920,540.916413491961
"11",1921,564.852484134179
"12",1922,548.168018206376
"13",1923,538.008877870958
"14",1924,500.468748866727
"15",1925,513.099491166195
"16",1926,532.796554850408
"17",1927,503.555996410158
"18",1928,497.160330083076
"19",1929,521.66982774252
"20",1930,543.842003626473
"21",1931,584.468413417951
"22",1932,554.743315017812
"23",1933,569.634424297371
"24",1934,556.790344514959
"25",1935,523.325162321309
"26",1936,575.920347169803
"27",1937,567.224154143429
"28",1938,564.58880843155
"29",1939,549.192665457842
"30",1940,563.212230281052
"31",1941,552.797941976428
"32",1942,516.578195829556
"33",1943,516.42416137806
"34",1944,531.192556663645
"35",1945,496.524456210335
"36",1946,525.110072529465
"37",1947,529.216089269852
"38",1948,536.140054397099
"39",1949,540.626718041704
"40",1950,481.554117878696
"41",1951,481.398884859474
"42",1952,530.837407071623
"43",1953,537.33121486854
"44",1954,504.724796010879
"45",1955,551.439229374433
"46",1956,508.04679057117
"47",1957,537.283155031732
"48",1958,541.514487760653
"49",1959,531.030716228468
"50",1960,546.453653671804
"51",1961,571.427153218495
"52",1962,522.895738893926
"53",1963,578.400398912058
"54",1964,533.519864007253
"55",1965,501.269274705349
"56",1966,532.721813236627
"57",1967,523.210435176791
"58",1968,515.199737080689
"59",1969,515.638204895739
"60",1970,544.295793291024
"61",1971,534.272846781505
"62",1972,517.540262919311
"63",1973,557.306572982774
"64",1974,510.287742520399
"65",1975,530.853563009973
"66",1976,559.799691749773
"67",1977,565.562420670898
"68",1978,544.170009066183
"69",1979,510.854070716228
"70",1980,556.316953762466
"71",1981,572.957978241161
"72",1982,512.534759746147
"73",1983,561.535131459656
"74",1984,561.335820489574
"75",1985,515.528041704442
"76",1986,539.047733454216
"77",1987,582.417234814143
"78",1988,618.710090661831
"79",1989,564.654424297371
"80",1990,555.516754306437
"81",1991,572.707824116047
"82",1992,515.777153218495
"83",1993,493.027180417044
"84",1994,544.339981867634
"85",1995,544.370915684497
"86",1996,517.549718948323
"87",1997,548.642103354488
"88",1998,585.484533091568
"89",1999,543.241577515866
"90",2000,565.191976427924
"91",2001,559.395929283772
"92",2002,533.58679057117
"93",2003,578.357089755213
"94",2004,494.191912964642
"95",2005,558.542910244787
"96",2006,593.416609247507
"97",2007,575.009038984588
"98",2008,531.74291931097
"99",2009,513.473753399819
"100",2010,559.497815049864
"101",2011,560.864315503173
"102",2012,600.123617407072
